ars,parent_ars,type,gen,bez
08117,081,krs,Göppingen,Landkreis
08118,081,krs,Ludwigsburg,Landkreis
08119,081,krs,Rems-Murr-Kreis,Landkreis
08111,081,krs,Stuttgart,Stadtkreis
08115,081,krs,Böblingen,Landkreis
08116,081,krs,Esslingen,Landkreis
08121,081,krs,Heilbronn,Stadtkreis
08125,081,krs,Heilbronn,Landkreis
08126,081,krs,Hohenlohekreis,Landkreis
08127,081,krs,Schwäbisch Hall,Landkreis
08128,081,krs,Main-Tauber-Kreis,Landkreis
08135,081,krs,Heidenheim,Landkreis
08136,081,krs,Ostalbkreis,Landkreis
